id,cat_name,long,lat
0,airport,-114.18639,34.30806
1,airport,-114.43083,34.5275
2,airport,-114.52667,33.86944
3,airport,-114.57528,34.18389
4,airport,-114.60194,34.81944
5,airport,-114.60444,33.60361
6,airport,-114.60528,33.59194
7,airport,-114.62306,34.76611
8,airport,-114.64333,33.67917
9,airport,-114.645,33.60389
10,airport,-114.64722,34.91111
11,airport,-114.71667,33.61889
12,airport,-114.95694,34.835
13,airport,-115.11889,34.13417
14,airport,-115.19222,35.28306
15,airport,-115.22,35.09694
16,airport,-115.26722,32.84028
17,airport,-115.32278,33.74861
18,airport,-115.35583,34.55472
19,airport,-115.45056,33.80139
20,airport,-115.51306,32.66944
21,airport,-115.51667,32.99306
22,airport,-115.52167,33.12972
23,airport,-115.52944,32.78889
24,airport,-115.54222,32.9625
25,airport,-115.55472,32.95833
26,airport,-115.55889,32.67333
27,airport,-115.57861,32.83417
28,airport,-115.63667,33.69889
29,airport,-115.71028,33.66528
30,airport,-115.73306,34.88167
31,airport,-115.87389,33.48111
32,airport,-115.92389,33.265
33,airport,-115.94556,34.13194
34,airport,-115.9525,33.24139
35,airport,-115.98917,33.28361
36,airport,-115.9975,34.16
37,airport,-115.99778,34.20611
38,airport,-116.04806,34.16278
39,airport,-116.08194,34.12833
40,airport,-116.0825,35.28528
41,airport,-116.09167,35.3375
42,airport,-116.10306,35.14917
43,airport,-116.13278,33.15
44,airport,-116.15417,34.75306
45,airport,-116.15972,33.62778
46,airport,-116.16472,32.61667
47,airport,-116.23528,33.70694
48,airport,-116.25222,34.15417
49,airport,-116.26944,35.96833
50,airport,-116.27472,33.74833
51,airport,-116.275,34.13472
52,airport,-116.27583,33.19167
53,airport,-116.27639,34.13167
54,airport,-116.29333,32.95
55,airport,-116.32306,33.25972
56,airport,-116.35667,33.235
57,airport,-116.39111,34.27028
58,airport,-116.39583,33.68611
59,airport,-116.40556,33.76583
60,airport,-116.40778,34.12778
61,airport,-116.40917,32.97083
62,airport,-116.41333,34.12611
63,airport,-116.42583,36.29556
64,airport,-116.44139,33.08167
65,airport,-116.45444,33.25583
66,airport,-116.50611,33.82806
67,airport,-116.57472,33.93972
68,airport,-116.57972,34.33722
69,airport,-116.61056,34.42028
70,airport,-116.61694,34.42333
71,airport,-116.6225,34.41444
72,airport,-116.63,35.28222
73,airport,-116.63917,32.63806
74,airport,-116.67472,33.28444
75,airport,-116.67528,34.96139
76,airport,-116.7225,32.765
77,airport,-116.74528,33.14306
78,airport,-116.75194,33.07028
79,airport,-116.78667,34.85361
80,airport,-116.7925,33.17917
81,airport,-116.79667,33.52083
82,airport,-116.8425,33.42778
83,airport,-116.85056,33.92306
84,airport,-116.85444,34.26361
85,airport,-116.88139,36.46361
86,airport,-116.88278,33.59722
87,airport,-116.88333,35.35556
88,airport,-116.88833,35.35028
89,airport,-116.89306,32.63306
90,airport,-116.9125,33.03917
91,airport,-116.92111,32.81111
92,airport,-116.92222,32.75556
93,airport,-116.95917,33.75
94,airport,-116.97222,32.82611
95,airport,-116.97667,33.54444
96,airport,-116.98,32.57222
97,airport,-116.99028,33.32444
98,airport,-116.99667,34.875
99,airport,-116.99806,33.31056
100,airport,-117.00194,33.18611
101,airport,-117.00583,32.77972
