cat_name,long,lat
airport,-114.18639,34.30806
airport,-114.43083,34.5275
airport,-114.52667,33.86944
airport,-114.57528,34.18389
airport,-114.60194,34.81944
airport,-114.60444,33.60361
airport,-114.60528,33.59194
airport,-114.62306,34.76611
airport,-114.64333,33.67917
airport,-114.645,33.60389
airport,-114.64722,34.91111
airport,-114.71667,33.61889
airport,-114.95694,34.835
airport,-115.11889,34.13417
airport,-115.19222,35.28306
airport,-115.22,35.09694
airport,-115.26722,32.84028
airport,-115.32278,33.74861
airport,-115.35583,34.55472
airport,-115.45056,33.80139
airport,-115.51306,32.66944
airport,-115.51667,32.99306
airport,-115.52167,33.12972
airport,-115.52944,32.78889
airport,-115.54222,32.9625
airport,-115.55472,32.95833
airport,-115.55889,32.67333
airport,-115.57861,32.83417
airport,-115.63667,33.69889
airport,-115.71028,33.66528
airport,-115.73306,34.88167
airport,-115.87389,33.48111
airport,-115.92389,33.265
airport,-115.94556,34.13194
airport,-115.9525,33.24139
airport,-115.98917,33.28361
airport,-115.9975,34.16
airport,-115.99778,34.20611
airport,-116.04806,34.16278
airport,-116.08194,34.12833
airport,-116.0825,35.28528
airport,-116.09167,35.3375
airport,-116.10306,35.14917
airport,-116.13278,33.15
airport,-116.15417,34.75306
airport,-116.15972,33.62778
airport,-116.16472,32.61667
airport,-116.23528,33.70694
airport,-116.25222,34.15417
airport,-116.26944,35.96833
airport,-116.27472,33.74833
airport,-116.275,34.13472
airport,-116.27583,33.19167
airport,-116.27639,34.13167
airport,-116.29333,32.95
airport,-116.32306,33.25972
airport,-116.35667,33.235
airport,-116.39111,34.27028
airport,-116.39583,33.68611
airport,-116.40556,33.76583
airport,-116.40778,34.12778
airport,-116.40917,32.97083
airport,-116.41333,34.12611
airport,-116.42583,36.29556
airport,-116.44139,33.08167
airport,-116.45444,33.25583
airport,-116.50611,33.82806
airport,-116.57472,33.93972
airport,-116.57972,34.33722
airport,-116.61056,34.42028
airport,-116.61694,34.42333
airport,-116.6225,34.41444
airport,-116.63,35.28222
airport,-116.63917,32.63806
airport,-116.67472,33.28444
airport,-116.67528,34.96139
airport,-116.7225,32.765
airport,-116.74528,33.14306
airport,-116.75194,33.07028
airport,-116.78667,34.85361
airport,-116.7925,33.17917
airport,-116.79667,33.52083
airport,-116.8425,33.42778
airport,-116.85056,33.92306
airport,-116.85444,34.26361
airport,-116.88139,36.46361
airport,-116.88278,33.59722
airport,-116.88333,35.35556
airport,-116.88833,35.35028
airport,-116.89306,32.63306
airport,-116.9125,33.03917
airport,-116.92111,32.81111
airport,-116.92222,32.75556
airport,-116.95917,33.75
airport,-116.97222,32.82611
airport,-116.97667,33.54444
airport,-116.98,32.57222
airport,-116.99028,33.32444
airport,-116.99667,34.875
airport,-116.99806,33.31056
airport,-117.00194,33.18611
airport,-117.00583,32.77972
airport,-117.01833,34.89333
airport,-117.0225,33.73389
airport,-117.02306,32.61944
airport,-117.02639,34.45444
airport,-117.05639,32.99806
airport,-117.07139,33.50694
airport,-117.07361,34.035
airport,-117.08056,34.56083
airport,-117.08167,32.68389
airport,-117.08472,32.59389
airport,-117.09222,33.25889
airport,-117.0975,32.71972
airport,-117.11,33.64556
airport,-117.11194,32.56639
airport,-117.12806,33.57611
airport,-117.13111,34.85306
airport,-117.13694,34.85667
airport,-117.14028,32.81583
airport,-117.14444,34.08472
airport,-117.14472,32.725
airport,-117.145,34.22833
airport,-117.15056,32.71528
airport,-117.15639,32.77083
airport,-117.15917,36.60389
airport,-117.16028,32.75111
airport,-117.16806,34.26528
airport,-117.16889,32.82306
airport,-117.1725,34.60194
airport,-117.18611,34.57889
airport,-117.1875,32.73333
airport,-117.19167,33.56194
airport,-117.20472,32.90139
airport,-117.2125,32.87389
airport,-117.21833,33.76083
airport,-117.23,33.78778
airport,-117.23444,34.09528
airport,-117.23722,33.5925
airport,-117.23861,33.565
airport,-117.23972,33.56556
airport,-117.2425,32.90889
airport,-117.25083,32.9
airport,-117.25083,33.35417
airport,-117.26444,34.05
airport,-117.26667,34.58361
airport,-117.2675,34.12778
airport,-117.26778,34.54278
airport,-117.27194,34.10333
airport,-117.28028,33.12806
airport,-117.29111,33.18528
airport,-117.29778,33.63278
airport,-117.30222,34.82722
airport,-117.305,33.50278
airport,-117.31528,34.14167
airport,-117.31583,34.37722
airport,-117.32167,34.13056
airport,-117.32722,35.81222
airport,-117.335,34.00806
airport,-117.35083,34.71194
airport,-117.35194,33.21778
airport,-117.37,34.36861
airport,-117.375,33.97917
airport,-117.37583,33.9825
airport,-117.40139,34.12917
airport,-117.41056,33.98972
airport,-117.42194,34.14694
airport,-117.42389,33.85306
airport,-117.43194,34.0725
airport,-117.43333,34.10167
airport,-117.43639,34.54778
airport,-117.445,33.95167
airport,-117.46056,34.53722
airport,-117.49667,34.75778
airport,-117.55361,34.56917
airport,-117.5675,33.87306
airport,-117.59111,33.61333
airport,-117.5975,33.89361
airport,-117.60111,34.05583
airport,-117.60222,33.8975
airport,-117.605,34.62472
airport,-117.60694,35.00333
airport,-117.6075,33.55444
airport,-117.63361,35.59111
airport,-117.63667,33.975
airport,-117.65333,34.62972
airport,-117.66639,33.56056
airport,-117.67139,35.64083
airport,-117.67167,35.61028
airport,-117.67389,34.56528
airport,-117.68639,34.11139
airport,-117.70833,35.03028
airport,-117.71,33.60806
airport,-117.72639,33.57222
airport,-117.74917,34.50222
airport,-117.76194,34.515
airport,-117.78111,36.80694
airport,-117.78167,34.09139
airport,-117.79333,34.0525
airport,-117.79972,34.10444
airport,-117.82361,34.49056
airport,-117.82583,34.58861
airport,-117.82944,35.65861
airport,-117.83167,33.69389
airport,-117.83694,33.67778
airport,-117.8375,33.69333
airport,-117.84611,33.67278
airport,-117.84833,33.91806
airport,-117.85,33.84806
airport,-117.8575,33.67056
airport,-117.865,33.78167
airport,-117.86528,33.68444
airport,-117.86778,33.75361
airport,-117.86806,33.67556
airport,-117.86917,34.13333
airport,-117.87722,33.62639
airport,-117.87778,33.68806
airport,-117.88222,33.86111
airport,-117.89028,33.78861
airport,-117.90194,33.82722
airport,-117.90417,33.66306
airport,-117.91694,33.69389
airport,-117.91694,33.865
airport,-117.9175,33.76694
airport,-117.92833,34.01972
airport,-117.92944,33.62417
airport,-117.93583,33.715
airport,-117.93694,34.00417
airport,-117.95917,34.02444
airport,-117.96417,33.87833
airport,-117.965,33.88083
airport,-117.965,34.02806
airport,-117.96528,34.86389
airport,-117.97972,33.87194
airport,-117.99861,36.28139
airport,-118,33.74528
airport,-118.00028,33.67778
airport,-118.00139,33.695
airport,-118.01389,35.15167
airport,-118.02833,33.67917
airport,-118.03444,33.74722
airport,-118.03472,34.08583
airport,-118.0425,34.13333
airport,-118.04444,33.66222
airport,-118.05194,36.58806
airport,-118.05278,34.01389
airport,-118.05917,34.69972
airport,-118.06194,33.66167
airport,-118.06972,33.91333
airport,-118.07167,34.07083
airport,-118.07306,33.91361
airport,-118.08028,35.98972
airport,-118.08361,33.82611
airport,-118.08472,33.75778
airport,-118.0875,33.75694
airport,-118.09333,33.755
airport,-118.09528,36.02194
airport,-118.10139,34.71556
airport,-118.11583,34.48583
airport,-118.1175,33.56389
airport,-118.11944,33.77583
airport,-118.12639,33.92333
airport,-118.12889,33.5825
airport,-118.13333,33.85083
airport,-118.14556,34.64722
airport,-118.14611,33.80722
airport,-118.14917,34.08083
airport,-118.15056,34.12389
airport,-118.15083,35.05806
airport,-118.15139,33.8175
airport,-118.15361,34.03778
airport,-118.15361,34.13361
airport,-118.16056,33.98667
airport,-118.16972,34.94222
airport,-118.17083,34.17278
airport,-118.17083,34.20472
airport,-118.17389,34.19722
airport,-118.18583,33.77889
airport,-118.18722,33.80833
airport,-118.19472,33.755
airport,-118.19944,33.76472
airport,-118.19944,33.77778
airport,-118.20167,34.05389
airport,-118.2025,33.93028
airport,-118.20472,34.65056
airport,-118.205,36.81361
airport,-118.20917,34.87056
airport,-118.21278,34.00083
airport,-118.2175,34.20417
airport,-118.21889,34.74083
airport,-118.22833,34.03972
airport,-118.22917,34.05444
airport,-118.23,34.15167
airport,-118.23028,34.06028
airport,-118.23083,35.38111
airport,-118.23556,34.05806
airport,-118.24111,34.05222
airport,-118.2425,34.05111
airport,-118.2425,34.05417
airport,-118.24361,33.89
airport,-118.24472,34.05194
airport,-118.24556,34.05861
airport,-118.24611,34.05056
airport,-118.24694,34.04333
airport,-118.24917,34.04444
airport,-118.25083,34.06222
airport,-118.25333,34.04917
airport,-118.25333,34.05361
airport,-118.25444,34.04778
airport,-118.25444,34.15722
airport,-118.25583,34.05278
airport,-118.25611,34.04028
airport,-118.25639,34.15556
airport,-118.25694,34.05139
airport,-118.25806,34.03722
airport,-118.25917,34.04917
airport,-118.25944,34.07778
airport,-118.26139,34.05556
airport,-118.26167,33.83417
airport,-118.2625,34.04639
airport,-118.26444,34.05361
airport,-118.265,34.05444
airport,-118.27167,34.04167
airport,-118.2725,34.06389
airport,-118.27472,33.74917
airport,-118.27583,33.73194
airport,-118.27722,33.85639
airport,-118.2775,34.79389
airport,-118.2825,34.10333
airport,-118.28306,34.69444
airport,-118.28472,34.1575
airport,-118.2875,34.43806
airport,-118.28806,34.28944
airport,-118.29028,34.09611
airport,-118.29028,34.09639
airport,-118.29111,34.06194
airport,-118.29222,34.06972
airport,-118.30167,34.90528
airport,-118.31056,33.73861
airport,-118.31194,33.33833
airport,-118.3125,33.85639
airport,-118.31278,33.90611
airport,-118.31278,34.50389
airport,-118.31611,33.34167
airport,-118.32889,34.15556
airport,-118.33139,34.15361
airport,-118.335,33.92278
airport,-118.33944,33.80333
airport,-118.33972,33.84361
airport,-118.3425,34.04694
airport,-118.35222,34.0625
airport,-118.35833,34.20056
airport,-118.36278,33.92222
airport,-118.36694,37.37444
airport,-118.3675,37.36556
airport,-118.37583,34.08333
airport,-118.37722,34.07389
airport,-118.38083,33.95333
airport,-118.38139,33.85278
airport,-118.38222,33.98
airport,-118.38278,33.89694
airport,-118.38389,34.28111
airport,-118.38472,33.9325
airport,-118.38833,33.76056
airport,-118.39361,33.73694
airport,-118.395,33.91694
airport,-118.39694,33.93028
airport,-118.39806,33.93028
airport,-118.40083,34.83167
airport,-118.40556,35.70528
airport,-118.40694,34.12667
airport,-118.40806,33.9425
airport,-118.4125,34.97722
airport,-118.41333,34.25972
airport,-118.41444,34.38139
airport,-118.41583,33.40472
airport,-118.4175,34.06083
airport,-118.41917,35.71917
airport,-118.41944,34.29111
airport,-118.41972,35.72806
airport,-118.42222,35.10083
airport,-118.42306,35.10083
airport,-118.42417,33.96611
airport,-118.42694,33.91417
airport,-118.4325,34.0625
airport,-118.43972,35.13528
airport,-118.44194,34.03611
airport,-118.4425,34.065
airport,-118.44361,34.05889
airport,-118.44472,34.04472
airport,-118.445,34.04778
airport,-118.4475,34.18333
airport,-118.44944,34.16
airport,-118.45,33.98444
airport,-118.45111,34.01556
airport,-118.4525,34.03306
airport,-118.45556,34.04889
airport,-118.46139,34.27972
airport,-118.46444,34.305
airport,-118.47611,37.20194
airport,-118.47667,34.56583
airport,-118.48306,35.39806
airport,-118.4875,34.96278
airport,-118.48972,34.20972
airport,-118.49056,34.13083
airport,-118.5,35.40694
airport,-118.50806,33.43222
airport,-118.52611,34.14167
