cat_name,cat_id
airport,0
arch,1
area,2
arroyo,3
bar,4
basin,5
bay,6
beach,7
bench,8
bend,9
bridge,10
building,11
canal,12
cape,13
cemetery,14
channel,15
church,16
civil,17
cliff,18
crater,19
crossing,20
dam,21
falls,22
flat,23
forest,24
gap,25
geyser,26
glacier,27
gut,28
harbor,29
hospital,30
island,31
isthmus,32
lake,33
lava,34
levee,35
locale,36
military,37
mine,38
oilfield,39
park,40
pillar,41
plain,42
po,43
ppl,44
range,45
rapids,46
reserve,47
reservoir,48
ridge,49
school,50
sea,51
slope,52
spring,53
stream,54
summit,55
swamp,56
tower,57
trail,58
tunnel,59
valley,60
well,61
woods,62
building,63
canal,64
cemetery,65
church,66
dam,67
flat,68
locale,69
military,70
mine,71
park,72
pillar,73
po,74
ppl,75
reservoir,76
school,77
spring,78
stream,79
summit,80
well,81
