start_node,cat_id,distance
1,25,0.00537134
1,55,0.0040002
2,49,0.00474167
3,33,0.000301746
3,48,0.00971851
3,54,0.00138718
5,18,0.0105136
7,44,0.00181596
9,40,0.00020463
9,43,0.00495964
9,44,0.00776263
9,50,0.00445247
9,54,0.00433628
9,54,0.00510554
9,54,0.00435592
9,60,0.00454039
9,60,0.00714908
9,14,0.0140345
9,23,0.014939
9,38,0.0142737
9,38,0.00272377
9,40,0.010677
9,44,0.00977253
9,53,0.0118332
9,55,0.000373468
9,60,0.00315816
9,60,0.0032232
9,60,0.00231456
10,38,0.00798063
11,36,0.00325917
11,53,0.00458482
11,55,0.00205642
11,60,0.0224703
11,60,0.00699489
11,60,0.00250553
12,54,0.0124186
13,49,0.026261
13,50,0.0297935
13,54,0.010837
13,55,0.0209494
13,60,0.0274364
13,60,0.0307337
14,54,0.00355861
14,60,0.0043367
15,54,0.00503138
15,55,0.0111601
15,60,0.00819095
16,21,0.0196091
16,36,0.012314
16,36,0.0182248
16,48,0.0196091
16,54,0.0148206
16,54,0.0111029
17,36,0.00783265
17,54,0.00695661
18,11,0.00351753
18,36,0.00250302
18,40,0.00961932
18,40,0.00515693
18,44,0.00162836
18,50,0.0020372
18,50,0.000957327
18,53,0.00758238
18,54,0.00703648
18,55,0.00630278
19,36,0.00725537
19,54,0.00754167
19,54,0.00591628
19,55,0.00186448
19,55,0.000146722
19,60,0.00547286
20,49,0.000463106
21,60,0.00213264
21,60,0.0016269
23,36,0.00827303
23,53,0.0100568
27,36,0.00162703
28,21,0.0206549
28,23,0.00296257
28,36,0.00197333
28,50,0.000132362
28,53,0.0192351
28,53,0.0031632
28,55,0.0192372
28,55,0.0118006
29,6,0.0115878
29,41,0.00931591
29,54,0.011331
29,54,0.00540288
29,55,0.0115041
30,18,0.00571838
30,54,0.00362798
30,54,0.00325155
30,60,0.00281347
32,53,0.00128574
33,40,0.0179161
33,44,0.00923666
33,53,0.0291678
33,54,0.0243751
33,54,0.0117753
33,55,0.0244453
34,53,0.00120924
34,60,0.00161549
34,60,0.0005432
35,53,0.0116167
35,53,0.0151666
35,53,0.0299333
35,54,0.0354825
35,54,0.0205423
35,55,0.0225404
35,55,0.0368856
35,60,0.0274594
35,60,0.0184748
35,60,0.0264839
37,44,0.00684579
37,53,0.00923602
38,38,0.00678888
38,38,0.00936291
38,54,0.0280026
38,60,0.0142338
38,60,0.0161116
38,60,0.0128702
39,40,0.00181269
39,60,0.00679856
39,38,0.0118112
39,38,0.00282352
40,23,0.00722941
40,54,0.00291431
41,55,0.0158427
42,36,0.00451522
42,53,0.0190525
43,13,0.0169343
43,54,0.0135222
45,53,0.0141649
46,21,0.00697724
46,48,0.00697724
46,60,0.0107055
48,48,0.0114634
50,54,0.0217582
50,54,0.0217582
53,53,0.000816492
53,56,0.00539954
55,36,0.00699909
55,54,0.00458819
57,53,0.00652474
57,54,0.00362298
57,54,0.0016239
57,60,0.0135013
58,48,0.00180979
59,23,0.01504
59,36,0.000546964
59,54,0.0121065
59,55,0.0138969
59,60,0.00578146
59,23,0.0153852
59,36,0.0039742
59,36,0.00176209
59,38,0.0148762
59,38,0.0087323
59,38,0.0152089
59,44,0.0147007
59,50,0.00520285
59,54,0.00303129
59,54,0.0140478
59,54,0.00856234
59,62,0.00192255
59,62,0.0102008
59,62,0.010448
59,62,0.0110238
60,0,0.0133982
60,16,0.0192175
60,38,0.0263194
60,38,0.0146806
60,38,0.0303777
60,38,0.0104789
60,38,0.0192558
60,38,0.013092
60,38,0.0070429
60,38,0.00597092
60,44,0.0293247
60,44,0.0283102
60,44,0.00669833
60,54,0.0290855
60,54,0.0290855
60,54,0.0295736
60,55,0.0102684
60,55,0.0159059
60,58,0.0299373
60,60,0.0275828
60,60,0.00845937
61,23,0.00392646
61,36,0.0137757
61,36,0.0032792
61,38,3.59127e-05
61,38,0.014765
61,44,0.0257161
61,50,0.00384946
